,Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
65,2022-02-08 17:30:00-05:00,XRPUSDT,0.8301,0.863,0.8258,0.8616,13080693.0,0.7881966841286907,Buy,0.6808007,False,True,False,0.8927,0.0178095452820382,23.330403607855864,0.4354000000000002
66,2022-02-10 06:00:00-05:00,XRPUSDT,0.8893,0.893,0.8865,0.8927,3720333.0,0.867815272307518,Buy,0.7424353,False,False,True,0.867815272307518,0.008645535100453,11.567048189618236,-0.569800000000001
67,2022-02-12 10:30:00-05:00,XRPUSDT,0.773,0.8089,0.7697,0.8026,26154946.0,0.7496181718614651,Buy,0.7754569,False,True,False,0.8074,0.010977340884096,27.325948313456497,0.0672000000000003
68,2022-02-14 09:00:00-05:00,XRPUSDT,0.8001,0.8097,0.7996,0.8062,7945669.0,0.7791259856018724,Buy,0.797742,True,True,False,0.8126,0.0083529249395776,17.805719005178236,0.1952999999999994
69,2022-02-16 08:30:00-05:00,XRPUSDT,0.8264,0.8298,0.8045,0.8126,22624643.0,0.839974357164754,Sell,0.8168517,False,False,True,0.839974357164754,0.0067283289046318,17.63408728155728,-0.4186000000000005
71,2022-02-16 22:30:00-05:00,XRPUSDT,0.8314,0.8314,0.8214,0.8219,7400690.0,0.8483606255525656,Sell,0.8220724,True,True,False,0.7992,0.007103021972411,18.590639452107094,0.319199999999999
72,2022-02-18 06:30:00-05:00,XRPUSDT,0.7794,0.7813,0.7714,0.7766,10002013.0,0.8004457002909763,Sell,0.8215839,False,False,True,0.8004457002909763,0.0079502559506279,25.129573419850416,-0.3038000000000007
73,2022-02-19 05:00:00-05:00,XRPUSDT,0.7826,0.785,0.7761,0.7778,6073359.0,0.7999288864562513,Sell,0.8183472,False,False,True,0.7999288864562513,0.0067034873369567,21.77025918871752,-0.5753999999999988
75,2022-02-19 21:30:00-05:00,XRPUSDT,0.8013,0.8013,0.7846,0.7929,10882030.0,0.8216929833491006,Sell,0.8205647,True,False,False,0.7929,0.0097589779528546,24.537302355100906,0.1750000000000001
77,2022-02-23 12:30:00-05:00,XRPUSDT,0.7305,0.7307,0.715,0.7168,8484876.0,0.7475547317708251,Sell,0.781386,True,True,False,0.672,0.0075023406888158,26.92403013355739,0.5977999999999994
78,2022-02-26 19:30:00-05:00,XRPUSDT,0.7465,0.7465,0.7243,0.732,24281486.0,0.7646588129450762,Sell,0.747278,False,False,True,0.7646588129450762,0.0090958855283553,17.653345677910544,-0.4326000000000005
80,2022-02-27 13:30:00-05:00,XRPUSDT,0.7425,0.7443,0.7388,0.7399,2348032.0,0.7641418914055911,Sell,0.7464573,True,False,False,0.7399,0.0078385800828912,16.92755258508687,0.1840999999999999
83,2022-03-07 01:00:00-05:00,XRPUSDT,0.728,0.7544,0.7276,0.7481,21544934.0,0.7134650575335698,Buy,0.7449977,False,False,True,0.7134650575335698,0.0078114975261423,30.55612155519925,-0.5165999999999991
85,2022-03-11 00:30:00-05:00,XRPUSDT,0.7406,0.748,0.7405,0.7468,6054661.0,0.7282029118350737,Buy,0.7396055,False,False,True,0.7282029118350737,0.0053922569266344,16.50135067514828,-0.2141999999999997
88,2022-03-14 17:00:00-05:00,XRPUSDT,0.7656,0.773,0.7644,0.7711,9653220.0,0.750418387461073,Buy,0.7623738,False,False,True,0.750418387461073,0.0059428205433554,17.545309121576626,-0.2632000000000005
