,Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
87,2022-03-11 15:00:00-05:00,XRPUSDT,0.7367,0.7598,0.7367,0.7587,21593693.0,0.7253249929210545,Buy,0.7391826,True,True,False,0.7818,0.0065419642918823,26.431514060918246,0.4283999999999994
89,2022-03-15 02:00:00-05:00,XRPUSDT,0.759,0.7593,0.7465,0.7523,15624733.0,0.7707514175139447,Sell,0.7629033,False,False,True,0.7707514175139447,0.0056780601763652,19.42279166633679,-0.2407999999999998
93,2022-03-23 09:30:00-05:00,XRPUSDT,0.8321,0.8367,0.8299,0.8364,4229117.0,0.8183514885641155,Buy,0.8156462,False,True,False,0.8401,0.0049427663374651,21.099941511316764,0.0517999999999989
94,2022-03-26 19:30:00-05:00,XRPUSDT,0.8333,0.8419,0.8323,0.8401,5144187.0,0.827127550976377,Buy,0.8339341,False,True,False,0.8458,0.0029690011251688,15.779283113661192,0.0798000000000005
95,2022-03-27 07:30:00-05:00,XRPUSDT,0.834,0.8355,0.8279,0.8299,3316641.0,0.8419292527026044,Sell,0.8359063,False,False,True,0.8419292527026044,0.0031114657925613,27.843203742780087,-0.2226000000000003
97,2022-04-02 10:00:00-05:00,XRPUSDT,0.8399,0.8399,0.8267,0.8328,10185631.0,0.8518585948601519,Sell,0.8568743,True,False,False,0.8328,0.0053628873199759,26.65843837391346,0.1091999999999996
98,2022-04-03 19:30:00-05:00,XRPUSDT,0.8356,0.8368,0.831,0.8321,3397004.0,0.8505611731303018,Sell,0.8539694,True,False,False,0.8321,0.0049812908871281,32.26736740820191,0.1448999999999995
100,2022-04-08 02:00:00-05:00,XRPUSDT,0.7863,0.7866,0.7792,0.7792,2279364.0,0.7944714802433435,Sell,0.8227892,True,True,False,0.7659,0.0039643942260685,13.220332878226476,0.2134999999999998
105,2022-04-17 03:30:00-05:00,XRPUSDT,0.7807,0.7855,0.7794,0.7852,3689914.0,0.7713858267051267,Buy,0.7491288,False,False,True,0.7713858267051267,0.003638341834182,17.29299737657682,-0.1946000000000003
108,2022-04-21 15:00:00-05:00,XRPUSDT,0.7487,0.7495,0.7447,0.7474,2965968.0,0.7634972633076906,Sell,0.7497479,True,False,False,0.7474,0.0052402108833649,17.871820429043854,0.0923999999999999
114,2022-05-02 16:30:00-05:00,XRPUSDT,0.6112,0.6232,0.6109,0.6189,7990553.0,0.5987003085793001,Buy,0.61841,False,False,True,0.5987003085793001,0.0059626195344664,21.331423352847025,-0.2520000000000002
116,2022-05-03 20:00:00-05:00,XRPUSDT,0.6104,0.6133,0.6104,0.6123,3304574.0,0.5997554348437881,Buy,0.6102185,True,True,False,0.6359,0.004163125474391,19.40567668546026,0.3738000000000008
117,2022-05-05 20:30:00-05:00,XRPUSDT,0.6045,0.6111,0.6032,0.6094,7651572.0,0.584278773486426,Buy,0.6037898,False,False,True,0.584278773486426,0.0070861009296534,43.57822826157176,-0.3262000000000014
118,2022-05-07 15:30:00-05:00,XRPUSDT,0.5921,0.5921,0.5874,0.5898,5629354.0,0.5977802842581524,Sell,0.5923427,True,False,False,0.5898,0.0028197076776916,22.45693076616817,0.0874999999999996
119,2022-05-10 16:00:00-05:00,XRPUSDT,0.5122,0.514,0.5024,0.5034,4655429.0,0.5302939235482178,Sell,0.5488903,True,True,False,0.4177,0.0078679461773517,13.147821169488006,1.1927999999999992
121,2022-05-16 22:00:00-05:00,XRPUSDT,0.43,0.4329,0.4295,0.4328,3454294.0,0.4176595709567628,Buy,0.4167605,False,False,True,0.4176595709567628,0.0050742847714982,34.953263629718485,-0.1680000000000001
122,2022-05-17 19:00:00-05:00,XRPUSDT,0.4371,0.4416,0.4369,0.4413,4662442.0,0.4261130296232372,Buy,0.4103879,False,False,True,0.4261130296232372,0.0045937820794435,20.22664942169308,-0.2114
123,2022-05-19 10:00:00-05:00,XRPUSDT,0.4142,0.4184,0.4124,0.4172,7085658.0,0.3992106512457882,Buy,0.3963098,True,True,False,0.418,0.0051983027986101,27.45942221668256,0.1238999999999995
125,2022-05-24 16:30:00-05:00,XRPUSDT,0.4078,0.4108,0.4073,0.4096,3253353.0,0.3983260260334012,Buy,0.3792841,False,False,True,0.3983260260334012,0.003821106320908,24.01279085233425,-0.1750000000000001
126,2022-05-25 15:30:00-05:00,XRPUSDT,0.4045,0.4076,0.4044,0.4074,1043101.0,0.3964033472082165,Buy,0.3770493,False,False,True,0.3964033472082165,0.0033764584101967,25.423943921087638,-0.1231999999999996
127,2022-05-27 02:00:00-05:00,XRPUSDT,0.3959,0.4003,0.3954,0.3992,6518420.0,0.3827081494879963,Buy,0.3724557,False,False,True,0.3827081494879963,0.004797025676801,17.68985579321611,-0.2197999999999998
129,2022-06-02 16:00:00-05:00,XRPUSDT,0.4,0.4018,0.3998,0.4015,1508832.0,0.3937076632360248,Buy,0.3737732,True,False,False,0.4015,0.0026191056011502,13.083170277883562,0.0510999999999998
131,2022-06-07 12:00:00-05:00,XRPUSDT,0.395,0.3963,0.3947,0.3959,4212594.0,0.3886507164637355,Buy,0.3753887,True,True,False,0.3983,0.0023803276889968,19.04762315086153,0.0826000000000002
132,2022-06-09 03:30:00-05:00,XRPUSDT,0.4025,0.4035,0.4021,0.4033,2657393.0,0.3983322247642237,Buy,0.3790519,False,False,True,0.3983322247642237,0.0016983711232455,8.979977566429158,-0.0671999999999996
133,2022-06-10 00:00:00-05:00,XRPUSDT,0.404,0.4085,0.404,0.4069,8827242.0,0.3991793277346939,Buy,0.3805754,False,False,True,0.3991793277346939,0.0021877703131932,19.870974391618468,-0.1987999999999998
134,2022-06-12 18:30:00-05:00,XRPUSDT,0.3487,0.3489,0.3426,0.3431,12150702.0,0.3598395589392263,Sell,0.3680064,True,True,False,0.3218,0.0045323834750968,18.406608463295143,0.2464000000000004
137,2022-06-16 20:30:00-05:00,XRPUSDT,0.3205,0.33,0.319,0.3285,20493698.0,0.3058832702366877,Buy,0.3253409,False,False,True,0.3058832702366877,0.0054344777028588,20.322127073519876,-0.3037999999999999
139,2022-06-20 05:30:00-05:00,XRPUSDT,0.3214,0.3279,0.3212,0.3273,7209461.0,0.3128454277444257,Buy,0.3084962,False,True,False,0.3288,0.0039128392153945,23.36273043334664,0.021
143,2022-06-30 23:30:00-05:00,XRPUSDT,0.3184,0.3211,0.3096,0.3127,20587097.0,0.3321287751198435,Sell,0.3285285,False,True,False,0.3099,0.0052509393728426,29.518069510097465,0.0391999999999995
146,2022-07-04 10:00:00-05:00,XRPUSDT,0.3209,0.3286,0.3207,0.3237,21055056.0,0.3152333131364482,Buy,0.3165726,False,False,True,0.3152333131364482,0.0027986878433606,14.93590252087284,-0.0951999999999996
147,2022-07-05 13:30:00-05:00,XRPUSDT,0.3201,0.3228,0.3201,0.3225,8093745.0,0.3147380408864523,Buy,0.3160079,True,True,False,0.3417,0.0023262158430004,32.72767316453104,0.1987999999999998
148,2022-07-13 07:30:00-05:00,XRPUSDT,0.3211,0.3212,0.3011,0.3065,52478343.0,0.326526690088756,Sell,0.3203446,False,False,True,0.326526690088756,0.0036439710099584,21.706848983069687,-0.2911999999999998
150,2022-07-14 04:00:00-05:00,XRPUSDT,0.316,0.316,0.3137,0.3138,4533262.0,0.3215247626829384,Sell,0.3190442,False,False,True,0.3215247626829384,0.0024118539192305,16.09694036277607,-0.0797999999999997
152,2022-07-15 16:30:00-05:00,XRPUSDT,0.3336,0.3381,0.3336,0.3368,3609398.0,0.325480602604606,Buy,0.3215225,True,True,False,0.346,0.0033359690610117,22.077176403603467,0.1532999999999998
153,2022-07-17 20:00:00-05:00,XRPUSDT,0.3491,0.3562,0.3489,0.3562,9613959.0,0.3403357270532413,Buy,0.3306967,False,True,False,0.3645,0.0037270246289106,20.22388420397325,0.1161999999999996
157,2022-07-24 19:00:00-05:00,XRPUSDT,0.3586,0.36,0.3555,0.3555,3608768.0,0.3664192047124675,Sell,0.3585523,True,True,False,0.334,0.0025960993626269,16.336046717360706,0.2351999999999997
158,2022-07-26 22:30:00-05:00,XRPUSDT,0.3319,0.332,0.3302,0.3306,2876789.0,0.3377872431411769,Sell,0.3513624,False,False,True,0.3377872431411769,0.0022959168851602,20.907289617547995,-0.0867999999999997
159,2022-07-30 07:30:00-05:00,XRPUSDT,0.3731,0.3745,0.3722,0.3744,6153617.0,0.365908697642813,Buy,0.3591362,True,True,False,0.3849,0.0026779189466453,11.052261792568869,0.2442999999999999
161,2022-08-01 21:30:00-05:00,XRPUSDT,0.3751,0.3751,0.3693,0.3715,12372071.0,0.38750329936198,Sell,0.3735687,False,True,False,0.3639,0.0042221514178032,22.28303213292741,0.1063999999999999
163,2022-08-02 21:00:00-05:00,XRPUSDT,0.3672,0.3678,0.3631,0.3639,4029492.0,0.3752562774913741,Sell,0.3744453,False,False,True,0.3752562774913741,0.0032741386608406,20.38340419609384,-0.1400000000000001
164,2022-08-03 17:30:00-05:00,XRPUSDT,0.3721,0.3723,0.3688,0.3697,3615089.0,0.3774908879099919,Sell,0.375183,False,False,True,0.3774908879099919,0.0022295155073889,15.24929085776002,-0.0882000000000003
165,2022-08-05 10:00:00-05:00,XRPUSDT,0.3724,0.3726,0.3702,0.3703,3824847.0,0.3787987542641596,Sell,0.375924,False,False,True,0.3787987542641596,0.0022650945955393,16.669181937519653,-0.1175999999999994
168,2022-08-08 01:00:00-05:00,XRPUSDT,0.3755,0.3797,0.3755,0.3787,11075035.0,0.3730120986287463,Buy,0.3771523,True,False,False,0.3787,0.0013721694910087,18.62666837305532,0.0321999999999999
170,2022-08-11 21:00:00-05:00,XRPUSDT,0.3772,0.3775,0.3745,0.3764,2495450.0,0.3827734125679878,Sell,0.3790297,True,True,False,0.3763,0.0022492155027753,27.52945238922151,0.0363999999999998
172,2022-08-13 21:30:00-05:00,XRPUSDT,0.3811,0.3837,0.3811,0.3834,6465261.0,0.3761932613729755,Buy,0.3803714,True,False,False,0.3834,0.0018580905813367,17.892392615532362,0.0496999999999999
